id,name,description,country,iata,icao,latitude,longitude,elevation
7993,Big Bear City,Big Bear,United States,L35,,34.26378,-116.85603,6725
7994,KIEV  INTERNATIONAL AIRPORT,KIEV,Ukraine,KIP,KIEV,50.1403,30.1808,250
7995,Los Angeles Union Station,Los Angeles,United States,,,34.05611,-118.23417,300
7996,Bamberg BF,Bamberg,Germany,BAM,BAMB,49.911,10.9,800
7997,Ingolstadt BF,Ingolstadt,Germany,IGS,INGS,48.7777,11.422,888
7998,Thomasville Regional Airport,Thomasville,United States,TVI,KTVI,30.90179,-83.88113,264
7999,Henderson Executive Airport,Henderson,United States,HSH,KHND,35.97278,-115.13444,1881
8000,Gostomel Antonov,Kiev,Ukraine,GML,UKKM,50.60361,30.19194,517
8001,Zuoying Station,Kaohsiung,Taiwan,,,22.68739,120.30748,31
8002,Taipei Station,Taipei,Taiwan,,,25.04778,121.51722,30
8003,Donghae,Donghae,South Korea,,,37.489,129.124,0
8004,Sakaiminato Port,Sakaiminato,Japan,,,35.539,133.264,0
8005,Henry Tift Myers Airport,Tifton,United States,TMA,KTMA,31.42898,-83.48854,355
8006,Landshut Ellermuehle,Landshut,Germany,,EDML,48.51333,12.035,1200
8007,Itzehoe-Hungriger Wolf Airport,Itzehoe,Germany,,EDHF,53.9944,9.57861,89
8008,Savannah Cruise Terminal,Savannah,United States,,,32.08558,-81.09756,0
8009,CHARLESTON CRUISE TERMINAL,CHARLESTON,United States,,,32.78108,-79.92364,0
8010,NEW YORK CRUISE TERMINAL PIER 92,NEW YORK,United States,,,40.76768,-73.99911,0
8011,Navy Dockyard Hamilton Bermuda,HAMILTON,Bermuda,,,32.32704,-64.83063,0
8012,Tokyo Station,Tokyo,Japan,,,35.6725,139.75322,16
8013,Shin-Osaka Station,Osaka,Japan,,,34.73893,135.50009,61
8014,Hiroshima Station,Hiroshima,Japan,,,34.39739,132.47598,28
8015,Frankfurt-Main Hauptbahnhof,Frankfurt,Germany,ZRB,,50.10703,8.66276,372
8016,Amsterdam Amstel Station,Amsterdam,Netherlands,,,52.34664,4.91781,21
8017,Florenc Central Bus Station,Prague,Czech Republic,,,50.09096,14.43949,617
8018,Wien Sudbahnhof,Vienna,Austria,,,48.18665,16.3815,651
8019,Praha hlavni nadrazi,Prague,Czech Republic,XYG,,50.08269,14.43503,691
8020,Wien Westbahnhof,Vienna,Austria,,,48.19658,16.33749,675
